Phenotype1,Phenotype2,Log2(OR),95% CI Lower,95% CI Upper,P_adj,Significance
Large/Prominent Ears,Cryptorchidism,-0.439188399,-1.410933528,0.53255673,0.845373754,ns
Upward Slanting Palpebral Fissures,Hypertelorism,-0.43898268,-1.38936962,0.51140426,0.844480667,ns
Long/Prominent Philtrum,Hydronephrosis,-0.437443699,-2.129309717,1.25442232,1,ns
Cleft Lip/Palate,Patent Foramen Ovale,-0.435847687,-4.589829498,3.718134125,1,ns
Micrognathia,Astigmatism,-0.435847687,-4.589829498,3.718134125,1,ns
Micrognathia,Nystagmus,-0.435847687,-4.589829498,3.718134125,1,ns
Micrognathia,Bicuspid Aortic Valve,-0.435847687,-4.589829498,3.718134125,1,ns
Micrognathia,Café-au-lait Spots,-0.435847687,-4.589829498,3.718134125,1,ns
Nystagmus,Hypoplasia Hand Muscles,-0.435847687,-4.589829498,3.718134125,1,ns
Patent Foramen Ovale,Bicuspid Aortic Valve,-0.435847687,-4.589829498,3.718134125,1,ns
Patent Foramen Ovale,Café-au-lait Spots,-0.435847687,-4.589829498,3.718134125,1,ns
Pyelectasis,Inguinal Hernia,-0.435847687,-4.589829498,3.718134125,1,ns
Café-au-lait Spots,Inguinal Hernia,-0.435847687,-4.589829498,3.718134125,1,ns
Micrognathia,Drooling,-0.434673527,-2.451470246,1.582123193,1,ns
Upward Slanting Palpebral Fissures,Corpus Callosum Hypoplasia/Agenesis,-0.434510887,-1.322850874,0.453829099,0.820656405,ns
Speech Developmental Delay,Pulmonary Valve Stenosis,-0.433896527,-2.402617422,1.534824369,1,ns
Upward Slanting Palpebral Fissures,Speech Developmental Delay,-0.433707665,-1.179603786,0.312188455,0.74450487,ns
Small Teeth,Corpus Callosum Hypoplasia/Agenesis,-0.433349378,-2.438581277,1.571882522,1,ns
Sparse Eyebrows,Hypoplasia Hand Muscles,-0.431734625,-2.926671173,2.063201924,1,ns
Sparse Eyebrows,Inguinal Hernia,-0.431734625,-2.926671173,2.063201924,1,ns
Micrognathia,Anxiety,-0.431734625,-2.926671173,2.063201924,1,ns
Abnormal EEG,Patent Foramen Ovale,-0.431734625,-2.926671173,2.063201924,1,ns
Abnormal EEG,Inguinal Hernia,-0.431734625,-2.926671173,2.063201924,1,ns
Anxiety,Hypoplasia Hand Muscles,-0.431734625,-2.926671173,2.063201924,1,ns
Long/Prominent Philtrum,Atrial Septal Defect,-0.430044844,-1.590202691,0.730113003,0.916412114,ns
Macrocephaly,Bulbous Nasal Tip,-0.428765767,-1.668599145,0.811067611,0.99316646,ns
Epicanthal Folds,Long/Prominent Philtrum,-0.427713622,-1.469681421,0.614254177,0.891059752,ns
Epicanthal Folds,Tracheomalacia/Laryngomalacia,-0.427713622,-1.469681421,0.614254177,0.891059752,ns
Developmental Delay/Intellectual Disability,Dry Skin/Hyperkeratosis/Eczema,-0.42473464,-2.949676476,2.100207196,1,ns
Slender Lower Limbs,ADHD,-0.42361803,-2.898258112,2.051022051,1,ns
Anxiety,Ventricular Septal Defect,-0.423253115,-2.106996718,1.260490487,1,ns
Short Stature,Hypotonia,-0.419677367,-1.581546874,0.742192139,0.99316646,ns
Long Face,High/Broad Nasal Bridge,-0.419229721,-1.372110846,0.533651404,0.877067924,ns
Failure to Thrive in Infancy,Open Mouth,-0.418646946,-4.574406903,3.737113011,1,ns
Failure to Thrive in Infancy,Narrow Hands,-0.418646946,-4.574406903,3.737113011,1,ns
Failure to Thrive in Infancy,Urinary Tract Infection,-0.418646946,-4.574406903,3.737113011,1,ns
Small Teeth,Narrow Hands,-0.418646946,-4.574406903,3.737113011,1,ns
Narrow Hands,Hypopigmentation,-0.418646946,-4.574406903,3.737113011,1,ns
Friendly/Amiable Affect,Inguinal Hernia,-0.418417406,-2.004979338,1.168144526,1,ns
Feeding Difficulties,Narrow/High Palate,-0.413277041,-1.413774062,0.587219979,0.916412114,ns
High/Broad Forehead,Hyperopia,-0.412053641,-1.63443718,0.810329899,0.937798408,ns
Tubular or Pear-Shaped Nose,Hydronephrosis,-0.408705348,-1.584854639,0.767443943,0.986043133,ns
Seizures,Atrial Septal Defect,-0.407445614,-1.233436814,0.418545585,0.82850634,ns
Everted Lower Lip,Pectus Excavatum,-0.407101239,-1.811780497,0.997578018,0.973157917,ns
Short Stature,Failure to Thrive in Infancy,-0.406291457,-2.895594928,2.083012014,1,ns
Speech Developmental Delay,Foot Deformities,-0.403660897,-1.293019401,0.485697606,0.891059752,ns
Seizures,Pyelectasis,-0.403571333,-2.028847149,1.221704483,1,ns
Thin Upper Lip,Speech Developmental Delay,-0.402913014,-1.629582338,0.823756311,0.995519786,ns
Thin Upper Lip,Macroglossia,-0.400160187,-2.873083634,2.072763261,1,ns
Age,Vesicoureteral Reflux,-0.398874491,-1.619426457,0.821677475,0.99316646,ns
Long Face,Macroglossia,-0.397820322,-1.704015985,0.908375341,0.99316646,ns
Low Birth Weight,High/Broad Nasal Bridge,-0.395660866,-2.367905073,1.576583341,1,ns
Tubular or Pear-Shaped Nose,Developmental Delay/Intellectual Disability,-0.393663848,-2.051244302,1.263916605,1,ns
Myopia,Pectus Excavatum,-0.392168392,-2.870184261,2.085847478,1,ns
Pectus Excavatum,Pigmentation Abnormalities,-0.392168392,-2.870184261,2.085847478,1,ns
Low-Set Ears,Pulmonary Valve Stenosis,-0.391830108,-2.956689371,2.173029155,1,ns
Strabismus,Nasal Speech,-0.391743216,-1.977783578,1.194297147,0.995355084,ns
Short Stature,Drooling,-0.391590786,-1.694605456,0.911423884,0.968160182,ns
Motor Developmental Delay,Abnormal Hair Color/Texture,-0.391011225,-1.122958239,0.340935789,0.790647856,ns
Low-Set Ears,Foot Deformities,-0.390930883,-1.500800681,0.718938916,0.935303696,ns
Upward Slanting Palpebral Fissures,Cryptorchidism,-0.390255149,-1.248371453,0.467861155,0.855287509,ns
Vesicoureteral Reflux,Cryptorchidism,-0.389652181,-1.9274701,1.148165739,0.99316646,ns
Cryptorchidism,Constipation,-0.389652181,-1.9274701,1.148165739,0.99316646,ns
Language Disorder,Seizures,-0.387304862,-1.118787747,0.344178024,0.792942906,ns
Cleft Lip/Palate,Language Disorder,-0.386749892,-2.193608231,1.420108447,1,ns
Long/Prominent Philtrum,Speech Developmental Delay,-0.385976649,-1.329661894,0.557708595,0.933133485,ns
Slender/Long Fingers,Urinary Tract Infection,-0.384732828,-2.898819926,2.129354271,1,ns
Low-Set Ears,Abnormal EEG,-0.384304903,-1.682354291,0.913744486,0.970668272,ns
Low-Set Ears,Anxiety,-0.384304903,-1.682354291,0.913744486,0.970668272,ns
Feeding Difficulties,Slender Lower Limbs,-0.383975443,-1.729333594,0.961382708,1,ns
Narrow/Short Palpebral Fissures,Atrial Septal Defect,-0.383926153,-1.546358609,0.778506304,0.947812266,ns
Enlarged Ventricles,Widely Spaced Nipples,-0.381394655,-2.37033556,1.607546249,1,ns
Feeding Difficulties,Pale Irides,-0.380975663,-1.797666907,1.03571558,1,ns
Pectus Excavatum,Bilateral Kidneys,-0.376442254,-4.590587055,3.837702547,1,ns
Broad Chin,Atrial Septal Defect,-0.376046904,-1.778251952,1.026158143,0.989163186,ns
Tubular or Pear-Shaped Nose,Low-Set Ears,-0.375167319,-1.229240346,0.478905708,0.904730081,ns
Feeding Difficulties,Café-au-lait Spots,-0.375115333,-1.98257235,1.232341685,1,ns
Bulbous Nasal Tip,Drooling,-0.374645571,-1.222943703,0.473652562,0.905057119,ns
Macrocephaly,Tubular or Pear-Shaped Nose,-0.374395515,-1.594707959,0.845916929,1,ns
Narrow/High Palate,Dry Skin/Hyperkeratosis/Eczema,-0.372658897,-2.336509492,1.591191698,1,ns
Feeding Difficulties,Tongue Protrusion,-0.372252633,-2.113019721,1.368514456,1,ns
Hip Dislocation/Dysplasia,Pigmentation Abnormalities,-0.369909387,-2.352660925,1.612842152,1,ns
Thin Upper Lip,Hypodontia,-0.369127795,-2.329725901,1.59147031,1,ns
Craniosynostosis,Cryptorchidism,-0.367993751,-2.962098438,2.226110935,1,ns
Short Stature,Hearing Impairment,-0.366381037,-1.550745921,0.817983847,0.973157917,ns
Long/Prominent Philtrum,Ventricular Septal Defect,-0.36618962,-1.881252311,1.148873072,0.99316646,ns
Cleft Lip/Palate,Hypotonia,-0.365019722,-2.182147047,1.452107603,1,ns
Astigmatism,Hypotonia,-0.365019722,-2.182147047,1.452107603,1,ns
Ptosis,Dry Skin/Hyperkeratosis/Eczema,-0.364908321,-2.068373101,1.338556458,1,ns
Thin Upper Lip,Hip Dislocation/Dysplasia,-0.364885802,-2.061574571,1.331802966,1,ns
Multiple Nevi,Abnormal Hair Color/Texture,-0.363943524,-1.717467494,0.989580446,0.99316646,ns
Bulbous Nasal Tip,Motor Developmental Delay,-0.363416197,-1.090460469,0.363628075,0.822632176,ns
High/Broad Forehead,ADHD,-0.363335029,-2.053517883,1.326847825,1,ns
Astigmatism,Abnormal Hair Color/Texture,-0.361671764,-2.168766508,1.445422981,1,ns
Nystagmus,Abnormal Hair Color/Texture,-0.361671764,-2.168766508,1.445422981,1,ns
Low Birth Weight,Speech Developmental Delay,-0.361389478,-1.721425086,0.998646131,1,ns
Short Stature,Atrial Septal Defect,-0.357602801,-1.661542816,0.946337215,0.989163186,ns
Bulbous Nasal Tip,Abnormal EEG,-0.353697225,-1.375787869,0.668393419,0.989163186,ns
Broad Chin,Widely Spaced Teeth,-0.353500883,-2.835762909,2.128761142,1,ns
Dolichocephaly,Large/Prominent Ears,-0.353165254,-2.987445159,2.28111465,1,ns
Dolichocephaly,Scoliosis/Kyphosis,-0.353165254,-2.987445159,2.28111465,1,ns
Developmental Delay/Intellectual Disability,Vesicoureteral Reflux,-0.35313506,-2.874829199,2.168559079,1,ns
Speech Developmental Delay,Urinary Tract Infection,-0.349995003,-2.076875425,1.376885418,1,ns
Epicanthal Folds,Hydronephrosis,-0.348803801,-1.687851034,0.990243432,0.995216275,ns
Short Stature,Vesicoureteral Reflux,-0.348627343,-2.31144761,1.614192923,1,ns
Short Stature,Multiple Nevi,-0.348627343,-2.31144761,1.614192923,1,ns
Ptosis,Motor Developmental Delay,-0.344536157,-1.222687282,0.533614969,0.933133485,ns
Everted Lower Lip,Myopia,-0.343780467,-2.078309496,1.390748562,1,ns
Neonatal Jaundice,Bulbous Nasal Tip,-0.341138529,-1.265929152,0.583652095,0.965887787,ns
Anxiety,Abnormal Hair Color/Texture,-0.338737209,-1.436575475,0.759101057,0.980788562,ns
Widely Spaced Teeth,Hypotonia,-0.335214789,-1.94619059,1.275761012,1,ns
Epicanthal Folds,Patent Foramen Ovale,-0.3336099,-2.120373222,1.453153422,1,ns
ADHD,Nasal Speech,-0.33248369,-2.812682215,2.147714836,1,ns
Foot Deformities,Hypopigmentation,-0.332270039,-2.33941418,1.674874102,1,ns
Epicanthal Folds,Everted Lower Lip,-0.3321176,-1.243764425,0.579529224,0.937532387,ns
Intrauterine Growth Restriction,Ventricular Septal Defect,-0.330668961,-2.291757126,1.630419205,1,ns
Narrow/Short Palpebral Fissures,Pigmentation Abnormalities,-0.330377874,-2.314126763,1.653371015,1,ns
Microcephaly,Developmental Delay/Intellectual Disability,-0.329743748,-4.534666727,3.87517923,1,ns
Craniosynostosis,Developmental Delay/Intellectual Disability,-0.329743748,-4.534666727,3.87517923,1,ns
Upward Slanting Palpebral Fissures,Tracheomalacia/Laryngomalacia,-0.329636482,-1.28754018,0.628267216,0.95903333,ns
Pale Irides,Hydrocephalus,-0.329425627,-4.494743905,3.83589265,1,ns
Hydrocephalus,Widely Spaced Nipples,-0.329425627,-4.494743905,3.83589265,1,ns
Epicanthal Folds,Hydrocephalus,-0.328836464,-2.428579575,1.770906647,1,ns
Bicuspid Aortic Valve,Cryptorchidism,-0.327474467,-2.360075141,1.705126207,1,ns
Cryptorchidism,Café-au-lait Spots,-0.327474467,-2.360075141,1.705126207,1,ns
Hyperopia,Atrial Septal Defect,-0.326329139,-1.360592751,0.707934473,0.973157917,ns
Pulmonary Valve Stenosis,Foot Deformities,-0.325302822,-2.891142766,2.240537123,1,ns
Neonatal Jaundice,Slender/Long Fingers,-0.325128589,-1.621003796,0.970746617,0.995216275,ns
Macrocephaly,Atrial Septal Defect,-0.324631383,-1.863884272,1.214621507,1,ns
Thin Upper Lip,Large/Prominent Ears,-0.324118225,-1.748546844,1.100310394,1,ns
Short Stature,Hyperopia,-0.323170497,-1.628074012,0.981733018,0.996206991,ns
Enlarged Ventricles,Hearing Impairment,-0.322832322,-1.334391357,0.688726712,0.973157917,ns
Myopia,Joint Hyperlaxity,-0.320746042,-1.813679675,1.17218759,1,ns
Joint Hyperlaxity,Pigmentation Abnormalities,-0.320746042,-1.813679675,1.17218759,1,ns
Long/Prominent Philtrum,Scoliosis/Kyphosis,-0.319765592,-1.39688244,0.757351255,0.988403276,ns
Sparse Eyebrows,Tracheomalacia/Laryngomalacia,-0.319590123,-1.709972906,1.070792659,1,ns
Cleft Lip/Palate,Bicuspid Aortic Valve,-0.319045586,-4.478711366,3.840620193,1,ns
Cleft Lip/Palate,Pyelectasis,-0.319045586,-4.478711366,3.840620193,1,ns
Cleft Lip/Palate,Café-au-lait Spots,-0.319045586,-4.478711366,3.840620193,1,ns
Astigmatism,Pyelectasis,-0.319045586,-4.478711366,3.840620193,1,ns
Astigmatism,Café-au-lait Spots,-0.319045586,-4.478711366,3.840620193,1,ns
Nystagmus,Bicuspid Aortic Valve,-0.319045586,-4.478711366,3.840620193,1,ns
Nystagmus,Café-au-lait Spots,-0.319045586,-4.478711366,3.840620193,1,ns
Bicuspid Aortic Valve,Pyelectasis,-0.319045586,-4.478711366,3.840620193,1,ns
Pyelectasis,Café-au-lait Spots,-0.319045586,-4.478711366,3.840620193,1,ns
Hypodontia,Joint Hyperlaxity,-0.316128886,-1.432196307,0.799938534,0.99316646,ns
Friendly/Amiable Affect,Atrial Septal Defect,-0.316109207,-1.145577354,0.51335894,0.937179476,ns
Dolichocephaly,Vesicoureteral Reflux,-0.315449356,-4.510030491,3.87913178,1,ns
Dolichocephaly,Multiple Nevi,-0.315449356,-4.510030491,3.87913178,1,ns
Dolichocephaly,Constipation,-0.315449356,-4.510030491,3.87913178,1,ns
Dolichocephaly,Sacral Dimple,-0.315449356,-4.510030491,3.87913178,1,ns
Craniosynostosis,Macroglossia,-0.313157885,-4.494069712,3.867753941,1,ns
Cryptorchidism,Pigmentation Abnormalities,-0.312448639,-2.047559069,1.422661791,1,ns
High/Broad Nasal Bridge,Hypodontia,-0.310619604,-1.825498913,1.204259705,1,ns
Hypodontia,Slender/Long Fingers,-0.310619604,-1.825498913,1.204259705,1,ns
Open Mouth,Patent Foramen Ovale,-0.309782665,-4.470438842,3.850873512,1,ns
Micrognathia,Urinary Tract Infection,-0.309782665,-4.470438842,3.850873512,1,ns
Narrow Hands,Patent Foramen Ovale,-0.309782665,-4.470438842,3.850873512,1,ns
Patent Foramen Ovale,Urinary Tract Infection,-0.309782665,-4.470438842,3.850873512,1,ns
Urinary Tract Infection,Inguinal Hernia,-0.309782665,-4.470438842,3.850873512,1,ns
Atrial Septal Defect,Pectus Excavatum,-0.308372517,-1.715443027,1.098697993,1,ns
Thin Upper Lip,Hypotonia,-0.307595283,-1.66674693,1.051556363,1,ns
Craniosynostosis,Atrial Septal Defect,-0.306391407,-2.901266719,2.288483904,1,ns
Sparse Eyebrows,Nystagmus,-0.305056774,-2.811084447,2.200970899,1,ns
Sparse Eyebrows,Pyelectasis,-0.305056774,-2.811084447,2.200970899,1,ns
Cleft Lip/Palate,Abnormal EEG,-0.305056774,-2.811084447,2.200970899,1,ns
Abnormal EEG,Pyelectasis,-0.305056774,-2.811084447,2.200970899,1,ns
Anxiety,Bicuspid Aortic Valve,-0.305056774,-2.811084447,2.200970899,1,ns
Anxiety,Pyelectasis,-0.305056774,-2.811084447,2.200970899,1,ns
Anxiety,Café-au-lait Spots,-0.305056774,-2.811084447,2.200970899,1,ns
Broad Chin,Abnormal EEG,-0.304576136,-1.994489001,1.385336729,1,ns
ADHD,Cryptorchidism,-0.304264341,-1.715000881,1.106472199,1,ns
Narrow/High Palate,Language Disorder,-0.303794294,-1.406022262,0.798433675,0.995216275,ns
Low-Set Ears,Speech Developmental Delay,-0.30331504,-1.185899894,0.579269815,0.989163186,ns
Narrow/Short Palpebral Fissures,Seizures,-0.302328084,-1.22029239,0.615636222,0.985043164,ns
Intrauterine Growth Restriction,Seizures,-0.299792696,-1.472256104,0.872670712,1,ns
Failure to Thrive in Infancy,Speech Developmental Delay,-0.299475027,-1.860322836,1.261372782,1,ns
Macroglossia,Strabismus,-0.299213883,-1.754499021,1.156071256,1,ns
Widely Spaced Teeth,Seizures,-0.296471365,-1.721702316,1.128759585,1,ns
Drooling,Astigmatism,-0.296322107,-2.329421385,1.736777171,1,ns
Macroglossia,Joint Hyperlaxity,-0.29544339,-1.680547187,1.089660406,1,ns
Intrauterine Growth Restriction,Hearing Impairment,-0.293196376,-1.633157144,1.046764391,1,ns
Pulmonary Valve Stenosis,Abnormal Hair Color/Texture,-0.2925384,-2.429360297,1.844283497,1,ns
Age,Bicuspid Aortic Valve,-0.292432977,-1.920212607,1.335346653,1,ns
Bulbous Nasal Tip,Atrial Septal Defect,-0.291000826,-1.147185534,0.565183883,0.989163186,ns
Everted Lower Lip,Atrial Septal Defect,-0.289410354,-1.29374419,0.714923482,0.99316646,ns
Macrocephaly,Hip Dislocation/Dysplasia,-0.289237005,-1.99120918,1.41273517,1,ns
Long/Prominent Philtrum,Vesicoureteral Reflux,-0.289237005,-1.99120918,1.41273517,1,ns
Long/Prominent Philtrum,Sacral Dimple,-0.289237005,-1.99120918,1.41273517,1,ns
Tracheomalacia/Laryngomalacia,Multiple Nevi,-0.289237005,-1.99120918,1.41273517,1,ns
Hip Dislocation/Dysplasia,Multiple Nevi,-0.289237005,-1.99120918,1.41273517,1,ns
Neonatal Jaundice,Dry Skin/Hyperkeratosis/Eczema,-0.288874411,-1.994399683,1.416650861,1,ns
Hearing Impairment,Pigmentation Abnormalities,-0.284494768,-1.871952443,1.302962907,1,ns
Feeding Difficulties,Hip Dislocation/Dysplasia,-0.282997429,-1.190837103,0.624842244,0.993869185,ns
Failure to Thrive in Infancy,Tongue Protrusion,-0.281631625,-4.445335575,3.882072326,1,ns
Tongue Protrusion,Small Teeth,-0.281631625,-4.445335575,3.882072326,1,ns
Narrow/Short Palpebral Fissures,Speech Developmental Delay,-0.281049998,-1.238489504,0.676389507,1,ns
Hypertelorism,Tubular or Pear-Shaped Nose,-0.278600663,-1.184872042,0.627670716,0.998935712,ns
Narrow/Short Palpebral Fissures,Anxiety,-0.277077354,-1.669095862,1.114941153,1,ns
Bulbous Nasal Tip,Open Mouth,-0.275347667,-2.001507813,1.450812479,1,ns
Corpus Callosum Hypoplasia/Agenesis,Motor Developmental Delay,-0.275218291,-1.111404206,0.560967624,0.989163186,ns
Enlarged Ventricles,Motor Developmental Delay,-0.275168869,-1.159613661,0.609275922,0.99316646,ns
Hyperopia,Pectus Excavatum,-0.274626922,-1.682559439,1.133305595,1,ns
Intrauterine Growth Restriction,Foot Deformities,-0.2743063,-1.806347486,1.257734887,1,ns
Short Stature,Dry Skin/Hyperkeratosis/Eczema,-0.273356877,-2.24075097,1.694037215,1,ns
Low-Set Ears,Hypoplasia Hand Muscles,-0.27285066,-2.292466036,1.746764716,1,ns
Long Face,Hypodontia,-0.272271575,-1.31822483,0.77368168,1,ns
Scoliosis/Kyphosis,Cryptorchidism,-0.272091963,-1.225456965,0.68127304,0.99316646,ns
Feeding Difficulties,Bulbous Nasal Tip,-0.272018236,-1.003626517,0.459590046,0.945347863,ns
Enlarged Ventricles,Otitis Media,-0.271495985,-2.270634536,1.727642567,1,ns
Age,Low-Set Ears,-0.271324949,-1.129220241,0.586570343,0.994621131,ns
Intrauterine Growth Restriction,Slender/Long Fingers,-0.270602499,-1.967743812,1.426538813,1,ns
Friendly/Amiable Affect,Strabismus,-0.27047241,-1.018621912,0.477677092,0.958607169,ns
Tubular or Pear-Shaped Nose,Cleft Lip/Palate,-0.269063228,-1.89668357,1.358557114,1,ns
Tubular or Pear-Shaped Nose,Bicuspid Aortic Valve,-0.269063228,-1.89668357,1.358557114,1,ns
Narrow/High Palate,Tracheomalacia/Laryngomalacia,-0.267178893,-1.660293585,1.125935799,1,ns
Pale Irides,Long/Prominent Philtrum,-0.266952494,-2.258611457,1.72470647,1,ns
Widely Spaced Teeth,Tracheomalacia/Laryngomalacia,-0.266952494,-2.258611457,1.72470647,1,ns
Hip Dislocation/Dysplasia,Widely Spaced Nipples,-0.266952494,-2.258611457,1.72470647,1,ns
Astigmatism,Atrial Septal Defect,-0.264797015,-2.298413912,1.768819883,1,ns
Atrial Septal Defect,Bicuspid Aortic Valve,-0.264797015,-2.298413912,1.768819883,1,ns
Hypodontia,Hyperopia,-0.263966269,-1.572686604,1.044754066,1,ns
Enlarged Ventricles,Tracheomalacia/Laryngomalacia,-0.263249268,-1.487805904,0.961307367,1,ns
Language Disorder,Strabismus,-0.261257582,-1.067004746,0.544489582,0.981906902,ns
Craniosynostosis,Joint Hyperlaxity,-0.260954095,-2.447913407,1.926005216,1,ns
Slender Lower Limbs,Seizures,-0.25994216,-1.611482971,1.091598652,1,ns
Macroglossia,Dry Skin/Hyperkeratosis/Eczema,-0.259425733,-2.738680733,2.219829267,1,ns
Tracheomalacia/Laryngomalacia,Abnormal Hair Color/Texture,-0.258907181,-1.253914419,0.736100057,1,ns
Narrow/High Palate,Astigmatism,-0.25862384,-2.765851453,2.248603774,1,ns
Narrow/High Palate,Bicuspid Aortic Valve,-0.25862384,-2.765851453,2.248603774,1,ns
Thin Upper Lip,Friendly/Amiable Affect,-0.258387354,-1.458811746,0.942037037,1,ns
Hearing Impairment,Joint Hyperlaxity,-0.257369427,-1.056465718,0.541726864,0.986043133,ns
Language Disorder,Hydronephrosis,-0.254686143,-1.536821163,1.027448877,1,ns
Pulmonary Valve Stenosis,Pigmentation Abnormalities,-0.253849853,-4.427721479,3.920021773,1,ns
Friendly/Amiable Affect,Ventricular Septal Defect,-0.253208354,-1.328477201,0.822060493,1,ns
Upward Slanting Palpebral Fissures,Hyperopia,-0.251855026,-1.117462068,0.613752016,0.995216275,ns
Low Birth Weight,Macrocephaly,-0.249065222,-2.729456509,2.231326066,1,ns
Low Birth Weight,Multiple Nevi,-0.249065222,-2.729456509,2.231326066,1,ns
Low Birth Weight,Constipation,-0.249065222,-2.729456509,2.231326066,1,ns
Narrow/Short Palpebral Fissures,Sacral Dimple,-0.248781585,-1.951970125,1.454406955,1,ns
